"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"fermverd"
"165";"Grundarás";110;"Par/Raðhús";59500000;7;251,5;236581
"166";"Hraunbær";110;"Fjölbýli";29900000;4;103,1;290010
"167";"Hörpugata";101;"Fjölbýli";25900000;3;75,2;344415
"168";"Klettakór";203;"Fjölbýli";56000000;4;174,2;321470
"169";"Marbakkabraut";200;"Fjölbýli";19900000;2;52;382692
"170";"Kleifakór";203;"Einbýli";69500000;7;255,6;271909
"171";"Ennishvarf";203;"Einbýli";144000000;5;594,2;242343
"172";"Hegranes";210;"Einbýli";77000000;8;284;271127
"173";"Fífuvellir";221;"Einbýli";57500000;4;217,7;264125
"174";"Strandvegur";210;"Fjölbýli";49900000;3;118,4;421453
"175";"Hverafold";112;"Einbýli";59900000;5;192;311979
"177";"Smáratún ";601;"Einbýli";64900000;8;372;174462
"178";"Vindakór  opið Hús";203;"Fjölbýli";39800000;4;115,3;345186
"179";"Kambahraun";810;"Einbýli";30900000;5;183,1;168760
"180";"Skeljagrandi";107;"Fjölbýli";44900000;5;137,3;327021
"181";"Sóltún";105;"Fjölbýli";49900000;4;130,3;382962
"182";"Snorrabraut";105;"Fjölbýli";39300000;4;93,9;418530
"183";"Heiðarbraut";801;"Sumarhús";14900000;4;42,5;350588
"184";"Ástjörn";800;"Fjölbýli";14600000;2;68,4;213450
"185";"Jöklasel";109;"Par/Raðhús";49900000;7;176,8;282240
"186";"Litla Hraun við Álftanesveg ";210;"Lóðir til nýbygginga";44900000;0;2243;20018
"187";"Baugakór";203;"Fjölbýli";33500000;3;87,6;382420
"188";"Gufunessund";801;"Sumarhús";11500000;3;40;287500
"189";"Grófarsel";109;"Par/Raðhús";49900000;6;197,3;252914
"190";"Ægisgata";340;"Einbýli";54900000;5;174;315517
"191";"Engjavegur";400;"Einbýli";28000000;7;250,2;111910
"192";"Árbrekka";621;"Sumarhús";15900000;3;52;305769
